tensor([[142.0374]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
tensor([[140.9153]], device='cuda:0')
