tensor([[483.4499]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
tensor([[486.3549]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
tensor([[491.2681]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[501.4584]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[484.8307]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
tensor([[495.0153]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[496.0612]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[486.6996]], device='cuda:0')
tensor([[484.8307]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[496.0612]], device='cuda:0')
tensor([[484.8307]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
tensor([[497.6460]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[497.5231]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[490.8103]], device='cuda:0')
tensor([[493.3189]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[494.4500]], device='cuda:0')
tensor([[484.8307]], device='cuda:0')
tensor([[497.6460]], device='cuda:0')
tensor([[480.2744]], device='cuda:0')
tensor([[497.5231]], device='cuda:0')
tensor([[501.4584]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
tensor([[486.3549]], device='cuda:0')
tensor([[490.1567]], device='cuda:0')
tensor([[486.3549]], device='cuda:0')
tensor([[501.4584]], device='cuda:0')
tensor([[501.4584]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[496.0612]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[497.6460]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[495.0174]], device='cuda:0')
tensor([[486.5893]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[493.3189]], device='cuda:0')
tensor([[490.8103]], device='cuda:0')
tensor([[479.8857]], device='cuda:0')
tensor([[486.0181]], device='cuda:0')
tensor([[484.8307]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[492.7044]], device='cuda:0')
tensor([[486.3549]], device='cuda:0')
tensor([[497.5231]], device='cuda:0')
tensor([[484.8307]], device='cuda:0')
tensor([[486.3549]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[486.3549]], device='cuda:0')
tensor([[486.3549]], device='cuda:0')
tensor([[495.0153]], device='cuda:0')
tensor([[495.0174]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[486.2566]], device='cuda:0')
tensor([[496.0612]], device='cuda:0')
tensor([[486.3549]], device='cuda:0')
tensor([[490.8103]], device='cuda:0')
tensor([[490.1567]], device='cuda:0')
tensor([[498.0297]], device='cuda:0')
tensor([[498.6235]], device='cuda:0')
tensor([[486.3549]], device='cuda:0')
tensor([[495.0208]], device='cuda:0')
