tensor([[743.1416]], device='cuda:0')
tensor([[637.2262]], device='cuda:0')
tensor([[724.6395]], device='cuda:0')
tensor([[638.7729]], device='cuda:0')
tensor([[655.5582]], device='cuda:0')
tensor([[659.9730]], device='cuda:0')
tensor([[724.6395]], device='cuda:0')
tensor([[725.6470]], device='cuda:0')
tensor([[725.6470]], device='cuda:0')
tensor([[725.6470]], device='cuda:0')
tensor([[725.6470]], device='cuda:0')
tensor([[701.8929]], device='cuda:0')
tensor([[678.3050]], device='cuda:0')
tensor([[685.1076]], device='cuda:0')
tensor([[678.3050]], device='cuda:0')
tensor([[636.2187]], device='cuda:0')
tensor([[678.3050]], device='cuda:0')
tensor([[708.8618]], device='cuda:0')
tensor([[661.5197]], device='cuda:0')
tensor([[701.8929]], device='cuda:0')
tensor([[702.9004]], device='cuda:0')
tensor([[701.8929]], device='cuda:0')
tensor([[655.5582]], device='cuda:0')
tensor([[725.6470]], device='cuda:0')
tensor([[678.3050]], device='cuda:0')
tensor([[686.1151]], device='cuda:0')
tensor([[702.9004]], device='cuda:0')
tensor([[656.5657]], device='cuda:0')
tensor([[686.1151]], device='cuda:0')
tensor([[725.6470]], device='cuda:0')
tensor([[656.5657]], device='cuda:0')
tensor([[655.5582]], device='cuda:0')
tensor([[724.6395]], device='cuda:0')
tensor([[685.1076]], device='cuda:0')
tensor([[708.8618]], device='cuda:0')
tensor([[665.7681]], device='cuda:0')
tensor([[655.5582]], device='cuda:0')
tensor([[701.8929]], device='cuda:0')
tensor([[707.8542]], device='cuda:0')
tensor([[655.5582]], device='cuda:0')
tensor([[678.3050]], device='cuda:0')
tensor([[701.8929]], device='cuda:0')
tensor([[724.6395]], device='cuda:0')
tensor([[724.6395]], device='cuda:0')
tensor([[639.7805]], device='cuda:0')
tensor([[705.3000]], device='cuda:0')
tensor([[655.5582]], device='cuda:0')
tensor([[661.5197]], device='cuda:0')
tensor([[682.5533]], device='cuda:0')
tensor([[683.5609]], device='cuda:0')
tensor([[682.5533]], device='cuda:0')
tensor([[682.5533]], device='cuda:0')
tensor([[655.5582]], device='cuda:0')
tensor([[724.6395]], device='cuda:0')
tensor([[701.8929]], device='cuda:0')
tensor([[702.9004]], device='cuda:0')
tensor([[724.6395]], device='cuda:0')
tensor([[724.6395]], device='cuda:0')
tensor([[701.8929]], device='cuda:0')
tensor([[707.8542]], device='cuda:0')
tensor([[679.3125]], device='cuda:0')
tensor([[701.8929]], device='cuda:0')
