tensor([[201.4385]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
tensor([[192.2715]], device='cuda:0')
