tensor([[1130.7792]], device='cuda:0')
tensor([[1117.3236]], device='cuda:0')
tensor([[1130.5482]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1130.5482]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1130.5482]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1166.2886]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1114.9819]], device='cuda:0')
tensor([[1102.6990]], device='cuda:0')
tensor([[1102.6990]], device='cuda:0')
tensor([[1115.8916]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1130.5482]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1118.2053]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1166.2886]], device='cuda:0')
tensor([[1117.3236]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1114.9819]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1130.5482]], device='cuda:0')
tensor([[1105.0074]], device='cuda:0')
tensor([[1130.5482]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1066.9507]], device='cuda:0')
tensor([[1066.9507]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1117.3236]], device='cuda:0')
tensor([[1165.4348]], device='cuda:0')
tensor([[1118.2053]], device='cuda:0')
tensor([[1153.0853]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1067.8864]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1166.2886]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1118.2053]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1114.9819]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1166.2886]], device='cuda:0')
tensor([[1130.5482]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1115.8916]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1115.8916]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1114.9819]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1130.5482]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1128.2012]], device='cuda:0')
tensor([[1130.5482]], device='cuda:0')
tensor([[1067.8864]], device='cuda:0')
tensor([[1080.1652]], device='cuda:0')
tensor([[1178.6647]], device='cuda:0')
tensor([[1115.8916]], device='cuda:0')
