_id,connectionTime,doneChargingTime,kWhDelivered,chargingDuration,chargingPower
session_128,17:47:00,08:31:00,26,14.733333333333333,1.76
session_129,18:12:00,21:45:00,12,3.55,3.38
session_130,00:41:00,09:52:00,20,9.183333333333334,2.18
session_131,16:58:00,18:46:00,6,1.8,3.33
session_132,19:13:00,20:28:00,4,1.25,3.2
session_133,21:25:00,08:12:00,8,10.783333333333331,0.74
session_134,16:00:00,15:14:00,24,23.23333333333333,1.03
session_135,17:37:00,20:18:00,9,2.683333333333333,3.35
session_136,18:12:00,15:14:00,12,21.03333333333333,0.57
session_137,18:30:00,20:03:00,5,1.55,3.23
session_138,20:12:00,15:13:00,5,19.016666666666666,0.26
session_139,22:35:00,05:17:00,17,6.7,2.54
session_140,17:05:00,18:15:00,3,1.1666666666666667,2.57
session_141,17:21:00,07:26:00,16,14.083333333333334,1.14
session_142,19:47:00,06:28:00,14,10.683333333333334,1.31
session_143,11:30:00,16:19:00,28,4.816666666666666,5.81
session_145,21:31:00,09:55:00,6,12.4,0.48
session_146,14:54:00,09:28:00,6,18.566666666666663,0.32
session_147,15:11:00,03:00:00,28,11.816666666666666,2.37
session_148,15:42:00,22:17:00,12,6.583333333333333,1.82
session_149,16:11:00,11:29:00,12,19.3,0.62
session_150,20:47:00,07:40:00,26,10.883333333333333,2.39
session_151,16:49:00,22:01:00,14,5.2,2.69
session_152,18:20:00,07:14:00,14,12.9,1.09
session_154,22:56:00,06:57:00,16,8.016666666666667,2.0
session_155,16:07:00,17:40:00,9,1.55,5.81
session_156,16:45:00,02:30:00,10,9.75,1.03
session_157,17:40:00,21:29:00,21,3.816666666666667,5.5
session_158,19:17:00,09:32:00,13,14.25,0.91
session_159,09:30:00,10:14:00,4,0.7333333333333333,5.45
session_160,13:20:00,15:48:00,4,2.466666666666667,1.62
session_161,15:03:00,10:28:00,10,19.416666666666668,0.52
session_162,15:48:00,16:18:00,1,0.5,2.0
session_163,15:54:00,13:19:00,10,21.416666666666668,0.47
session_164,16:56:00,11:52:00,8,18.933333333333334,0.42
session_165,17:36:00,13:42:00,7,20.1,0.35
session_166,19:04:00,06:31:00,20,11.45,1.75
session_167,19:28:00,14:37:00,14,19.15,0.73
session_168,19:31:00,22:40:00,17,3.15,5.4
session_169,23:43:00,08:15:00,16,8.533333333333333,1.88
session_170,12:31:00,21:57:00,13,9.433333333333334,1.38
session_171,16:21:00,23:08:00,11,6.783333333333333,1.62
session_174,22:54:00,08:18:00,18,9.4,1.91
session_175,22:57:00,10:19:00,13,11.366666666666667,1.14
session_176,23:47:00,12:34:00,16,12.783333333333331,1.25
session_177,01:11:00,15:51:00,15,14.666666666666666,1.02
session_178,13:41:00,15:53:00,3,2.2,1.36
session_179,13:53:00,16:56:00,6,3.05,1.97
session_180,14:15:00,16:04:00,6,1.8166666666666669,3.3
session_181,14:19:00,08:57:00,7,18.633333333333333,0.38
session_182,14:27:00,21:05:00,7,6.633333333333334,1.06
session_183,15:19:00,21:31:00,8,6.2,1.29
session_184,17:34:00,20:00:00,14,2.433333333333333,5.75
session_185,19:12:00,21:28:00,8,2.2666666666666666,3.53
session_187,22:17:00,08:50:00,11,10.55,1.04
session_188,22:58:00,07:45:00,11,8.783333333333333,1.25
session_189,10:20:00,13:31:00,11,3.183333333333333,3.46
session_190,16:27:00,07:54:00,8,15.45,0.52
session_191,17:47:00,22:34:00,26,4.783333333333333,5.44
session_192,20:26:00,07:57:00,13,11.516666666666667,1.13
session_193,23:32:00,14:58:00,15,15.433333333333334,0.97
session_194,07:45:00,09:01:00,4,1.2666666666666666,3.16
session_195,15:07:00,17:40:00,9,2.55,3.53
session_196,16:21:00,18:44:00,8,2.3833333333333333,3.36
session_197,16:51:00,08:01:00,15,15.166666666666666,0.99
session_198,18:15:00,21:51:00,8,3.6,2.22
session_199,18:49:00,12:21:00,11,17.533333333333335,0.63
session_200,19:40:00,12:29:00,16,16.816666666666666,0.95
